name,district,taluka,facility_type,latitude,longitude,emergency_beds,icu_beds,trauma_capacity,ownership,status,source_name,source_url,trust_level,last_verified
Peshawar Trauma Center 01 (DEMO),Peshawar,Peshawar,Trauma Center,34.038786,71.52471,40,8,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Khyber Pakhtunkhwa,N/A - dummy data,DEMO,N/A (synthetic)
Peshawar Medical Center 02 (DEMO),Peshawar,Peshawar,General Hospital,34.003436,71.504031,80,12,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Khyber Pakhtunkhwa,N/A - dummy data,DEMO,N/A (synthetic)
Peshawar Central Hospital 03 (DEMO),Peshawar,Peshawar,Tertiary Care Hospital,34.039855,71.508923,40,12,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Khyber Pakhtunkhwa,N/A - dummy data,DEMO,N/A (synthetic)
Peshawar Medical Center 04 (DEMO),Peshawar,Peshawar,General Hospital,34.006496,71.514682,20,4,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Khyber Pakhtunkhwa,N/A - dummy data,DEMO,N/A (synthetic)
Mardan Trauma Center 01 (DEMO),Mardan,Mardan,Trauma Center,34.196095,72.020456,25,15,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Khyber Pakhtunkhwa,N/A - dummy data,DEMO,N/A (synthetic)
Mardan Trauma Center 02 (DEMO),Mardan,Mardan,Trauma Center,34.222901,72.045495,30,15,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Khyber Pakhtunkhwa,N/A - dummy data,DEMO,N/A (synthetic)
Mardan Trauma Center 03 (DEMO),Mardan,Mardan,Trauma Center,34.213955,72.032071,30,12,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Khyber Pakhtunkhwa,N/A - dummy data,DEMO,N/A (synthetic)
Abbottabad General Hospital 01 (DEMO),Abbottabad,Abbottabad,General Hospital,34.177704,73.218409,80,12,MEDIUM,Public,OPERATIONAL,Synthetic national hospital network - Khyber Pakhtunkhwa,N/A - dummy data,DEMO,N/A (synthetic)
Abbottabad Central Hospital 02 (DEMO),Abbottabad,Abbottabad,Tertiary Care Hospital,34.176058,73.214608,25,20,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Khyber Pakhtunkhwa,N/A - dummy data,DEMO,N/A (synthetic)
Abbottabad General Hospital 03 (DEMO),Abbottabad,Abbottabad,General Hospital,34.191241,73.215101,60,10,MEDIUM,Public,OPERATIONAL,Synthetic national hospital network - Khyber Pakhtunkhwa,N/A - dummy data,DEMO,N/A (synthetic)
