name,district,taluka,facility_type,latitude,longitude,emergency_beds,icu_beds,trauma_capacity,ownership,status,source_name,source_url,trust_level,last_verified
Karachi General Hospital 01 (DEMO),Karachi,Karachi,General Hospital,24.848498,66.984775,20,6,MEDIUM,Public,OPERATIONAL,Synthetic national hospital network - Sindh,N/A - dummy data,DEMO,N/A (synthetic)
Karachi Central Hospital 02 (DEMO),Karachi,Karachi,Tertiary Care Hospital,24.867097,66.999298,25,20,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Sindh,N/A - dummy data,DEMO,N/A (synthetic)
Karachi Medical Center 03 (DEMO),Karachi,Karachi,General Hospital,24.851507,66.998088,80,15,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Sindh,N/A - dummy data,DEMO,N/A (synthetic)
Karachi Trauma Center 04 (DEMO),Karachi,Karachi,Trauma Center,24.875516,67.005671,60,8,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Sindh,N/A - dummy data,DEMO,N/A (synthetic)
Hyderabad Central Hospital 01 (DEMO),Hyderabad,Hyderabad,Tertiary Care Hospital,25.393596,68.335645,30,10,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Sindh,N/A - dummy data,DEMO,N/A (synthetic)
Hyderabad Central Hospital 02 (DEMO),Hyderabad,Hyderabad,Tertiary Care Hospital,25.419868,68.337315,60,20,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Sindh,N/A - dummy data,DEMO,N/A (synthetic)
Hyderabad Trauma Center 03 (DEMO),Hyderabad,Hyderabad,Trauma Center,25.418712,68.369746,50,12,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Sindh,N/A - dummy data,DEMO,N/A (synthetic)
Sukkur Trauma Center 01 (DEMO),Sukkur,Sukkur,Trauma Center,27.731992,68.813876,80,12,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Sindh,N/A - dummy data,DEMO,N/A (synthetic)
Sukkur General Hospital 02 (DEMO),Sukkur,Sukkur,General Hospital,27.704575,68.842756,20,10,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Sindh,N/A - dummy data,DEMO,N/A (synthetic)
Sukkur Central Hospital 03 (DEMO),Sukkur,Sukkur,Tertiary Care Hospital,27.708028,68.810187,50,15,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Sindh,N/A - dummy data,DEMO,N/A (synthetic)
Larkana Trauma Center 01 (DEMO),Larkana,Larkana,Trauma Center,27.56449,68.205495,50,12,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Sindh,N/A - dummy data,DEMO,N/A (synthetic)
Larkana Trauma Center 02 (DEMO),Larkana,Larkana,Trauma Center,27.550918,68.217194,40,20,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Sindh,N/A - dummy data,DEMO,N/A (synthetic)
Larkana Central Hospital 03 (DEMO),Larkana,Larkana,Tertiary Care Hospital,27.561898,68.206628,30,4,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Sindh,N/A - dummy data,DEMO,N/A (synthetic)
Nawabshah General Hospital 01 (DEMO),Nawabshah,Nawabshah,General Hospital,26.248337,68.392071,30,4,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Sindh,N/A - dummy data,DEMO,N/A (synthetic)
Nawabshah Medical Center 02 (DEMO),Nawabshah,Nawabshah,General Hospital,26.252307,68.391448,60,15,MEDIUM,Public,OPERATIONAL,Synthetic national hospital network - Sindh,N/A - dummy data,DEMO,N/A (synthetic)
Nawabshah Medical Center 03 (DEMO),Nawabshah,Nawabshah,General Hospital,26.251375,68.401424,50,10,MEDIUM,Public,OPERATIONAL,Synthetic national hospital network - Sindh,N/A - dummy data,DEMO,N/A (synthetic)
Mirpur Khas Central Hospital 01 (DEMO),Mirpur Khas,Mirpur Khas,Tertiary Care Hospital,25.52307,69.004091,60,15,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Sindh,N/A - dummy data,DEMO,N/A (synthetic)
Mirpur Khas Medical Center 02 (DEMO),Mirpur Khas,Mirpur Khas,General Hospital,25.518987,69.024308,25,6,MEDIUM,Public,OPERATIONAL,Synthetic national hospital network - Sindh,N/A - dummy data,DEMO,N/A (synthetic)
Mirpur Khas General Hospital 03 (DEMO),Mirpur Khas,Mirpur Khas,General Hospital,25.505758,69.028221,25,6,MEDIUM,Public,OPERATIONAL,Synthetic national hospital network - Sindh,N/A - dummy data,DEMO,N/A (synthetic)
