name,resource_type,latitude,longitude,capabilities,equipment,capacity,organization,trust_level
Sargodha Ambulance 001 (DEMO),Ambulance,32.050351,72.655352,emergency medical transport,first aid|stretcher|oxygen,2,Punjab Emergency Services (DEMO),DEMO
Karachi Ambulance 002 (DEMO),Ambulance,24.832875,67.017947,emergency medical transport,first aid|stretcher|oxygen,1,Sindh Emergency Services (DEMO),DEMO
Sialkot Ambulance 003 (DEMO),Ambulance,32.461725,74.494459,emergency medical transport,first aid|stretcher|oxygen,2,Punjab Emergency Services (DEMO),DEMO
Multan Ambulance 004 (DEMO),Ambulance,30.124358,71.503819,emergency medical transport,first aid|stretcher|oxygen,4,Punjab Emergency Services (DEMO),DEMO
Larkana Ambulance 005 (DEMO),Ambulance,27.565249,68.23396,emergency medical transport,first aid|stretcher|oxygen,1,Sindh Emergency Services (DEMO),DEMO
Abbottabad Ambulance 006 (DEMO),Ambulance,34.144976,73.216083,emergency medical transport,first aid|stretcher|oxygen,3,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Hyderabad Ambulance 007 (DEMO),Ambulance,25.428005,68.346362,emergency medical transport,first aid|stretcher|oxygen,1,Sindh Emergency Services (DEMO),DEMO
Rawalpindi Ambulance 008 (DEMO),Ambulance,33.555229,73.005977,emergency medical transport,first aid|stretcher|oxygen,3,Punjab Emergency Services (DEMO),DEMO
Dera Ismail Khan Ambulance 009 (DEMO),Ambulance,31.847581,70.904236,emergency medical transport,first aid|stretcher|oxygen,4,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Karachi Ambulance 010 (DEMO),Ambulance,24.846222,67.010105,emergency medical transport,first aid|stretcher|oxygen,3,Sindh Emergency Services (DEMO),DEMO
Gujranwala Ambulance 011 (DEMO),Ambulance,32.20202,74.162708,emergency medical transport,first aid|stretcher|oxygen,2,Punjab Emergency Services (DEMO),DEMO
Swat Ambulance 012 (DEMO),Ambulance,35.256666,72.450672,emergency medical transport,first aid|stretcher|oxygen,1,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Rawalpindi Ambulance 013 (DEMO),Ambulance,33.561839,73.040288,emergency medical transport,first aid|stretcher|oxygen,2,Punjab Emergency Services (DEMO),DEMO
Lahore Ambulance 014 (DEMO),Ambulance,31.529365,74.327288,emergency medical transport,first aid|stretcher|oxygen,1,Punjab Emergency Services (DEMO),DEMO
Sialkot Ambulance 015 (DEMO),Ambulance,32.47148,74.538939,emergency medical transport,first aid|stretcher|oxygen,2,Punjab Emergency Services (DEMO),DEMO
Faisalabad Ambulance 016 (DEMO),Ambulance,31.434296,73.164777,emergency medical transport,first aid|stretcher|oxygen,2,Punjab Emergency Services (DEMO),DEMO
Peshawar Ambulance 017 (DEMO),Ambulance,34.0391,71.54422,emergency medical transport,first aid|stretcher|oxygen,2,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Dera Ismail Khan Ambulance 018 (DEMO),Ambulance,31.852853,70.894782,emergency medical transport,first aid|stretcher|oxygen,1,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Larkana Ambulance 019 (DEMO),Ambulance,27.590004,68.238646,emergency medical transport,first aid|stretcher|oxygen,3,Sindh Emergency Services (DEMO),DEMO
Larkana Ambulance 020 (DEMO),Ambulance,27.558946,68.239228,emergency medical transport,first aid|stretcher|oxygen,4,Sindh Emergency Services (DEMO),DEMO
Hyderabad Ambulance 021 (DEMO),Ambulance,25.370774,68.374949,emergency medical transport,first aid|stretcher|oxygen,3,Sindh Emergency Services (DEMO),DEMO
Mardan Ambulance 022 (DEMO),Ambulance,34.19389,72.028947,emergency medical transport,first aid|stretcher|oxygen,3,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Larkana Ambulance 023 (DEMO),Ambulance,27.593828,68.212967,emergency medical transport,first aid|stretcher|oxygen,1,Sindh Emergency Services (DEMO),DEMO
Abbottabad Ambulance 024 (DEMO),Ambulance,34.194077,73.197199,emergency medical transport,first aid|stretcher|oxygen,2,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Kohat Ambulance 025 (DEMO),Ambulance,33.576451,71.419147,emergency medical transport,first aid|stretcher|oxygen,4,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Sialkot Ambulance 026 (DEMO),Ambulance,32.492263,74.505499,emergency medical transport,first aid|stretcher|oxygen,1,Punjab Emergency Services (DEMO),DEMO
Peshawar Ambulance 027 (DEMO),Ambulance,33.988119,71.551835,emergency medical transport,first aid|stretcher|oxygen,3,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Swat Ambulance 028 (DEMO),Ambulance,35.211512,72.411345,emergency medical transport,first aid|stretcher|oxygen,2,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Faisalabad Ambulance 029 (DEMO),Ambulance,31.482167,73.16131,emergency medical transport,first aid|stretcher|oxygen,3,Punjab Emergency Services (DEMO),DEMO
